age,educationalStatus,fieldOfStudy,maritalStatus,gender,militaryStatus,freeTime,targetIncome,intentionToMigrate,interestInMathematics,computerExperience,whichOneDoYouLikeMore,whichCaseIsmoreRelevant,doYouWorkOnHolidays,disability,addictionred,result
18,0,1,0,1,1,3,12,0,0,1,0,0,1,0,0,"['wordpress','admin','video editor','ui designer']"
17,0,1,0,1,1,2,14,0,0,1,0,0,1,0,0,"['wordpress','admin','video editor','ui designer']"
16,0,1,0,1,1,3,16,0,0,1,0,0,1,0,0,"['wordpress','admin','video editor','ui designer']"
19,0,1,0,1,1,2,19,0,0,1,0,0,1,0,0,"['wordpress','admin','video editor','ui designer']"
20,1,0,0,1,1,4,20,1,1,1,1,1,1,0,0,"['Ai','mobile developer','backend developer']"
25,1,0,0,1,1,7,20,1,1,1,1,1,1,0,0,"['Ai','mobile developer','backend developer']"
30,1,0,0,1,1,4,20,1,1,1,1,1,1,0,0,"['Ai,'mobile developer','backend developer']"
35,1,0,0,1,1,4,20,1,1,1,1,1,1,0,0,"['Ai','mobile developer','backend developer']"
40,1,0,1,1,1,1,12,0,1,1,1,0,0,0,0,"['frontend developer','wordpress','seo','a teacher']"
45,1,0,1,1,1,1,18,0,1,1,1,0,0,0,0,"['frontend developer','wordpress','seo','a teacher']"
50,1,0,1,1,1,1,15,0,1,1,1,0,0,0,0,"['frontend developer','wordpress','seo','a teacher']"
20,0,1,0,0,0,2,12,1,0,2,0,0,0,0,0,"['admin','wordpress','frontend developer','marketing','seo']"
30,0,1,0,0,0,2,18,1,0,2,0,0,0,0,0,"['admin','wordpress','frontend developer','marketing','seo']"
35,0,1,0,0,0,3,15,1,0,2,0,0,0,0,0,"['admin','wordpress','frontend developer','marketing','seo']"
20,0,0,0,1,1,1,20,0,1,2,0,1,1,0,1,"['mobile developer','wordpress','game developer']"
35,0,0,0,1,1,2,25,0,1,2,0,1,1,0,1,"['mobile developer','wordpress','game developer']"
39,0,0,0,1,1,1,28,0,1,2,0,1,1,0,1,"['mobile developer','wordpress','game developer']"
